key,time,event,hold_time,flight_time
h,1723884191.660031,press,0.10052680969238281,
e,1723884191.8675003,press,0.07902121543884277,0.17203617095947266
l,1723884192.1359603,press,0.1016836166381836,0.0938563346862793
l,1723884192.2903955,press,0.08690595626831055,0.6909685134887695
o,1723884192.485452,press,-1.7257587909698486,0.12139129638671875
space,1723884192.7106578,press,-0.6878516674041748,0.23597121238708496
j,1723884193.5086076,press,0.008616447448730469,0.5519676208496094
u,1723884193.722026,press,0.115325927734375,0.5686225891113281
l,1723884193.9407403,press,0.17170500755310059,0.11014986038208008
i,1723884194.1637735,press,0.12405920028686523,0.6478087902069092
u,1723884194.5072007,press,-5.928855657577515,0.09504532814025879
s,1723884194.9494026,press,-8.726853132247925,0.9712748527526855
s,1723884195.1946518,press,-8.665648937225342,0.03463268280029297
space,1723884195.237321,press,-3.8908495903015137,0.04927325248718262
k,1723884195.9485734,press,-6.650543212890625,0.7820768356323242
a,1723884196.0940852,press,-7.297514915466309,0.15456247329711914
z,1723884196.3308947,press,0.10602116584777832,0.14186382293701172
o,1723884196.8635027,press,,
b,1723884197.5541947,press,,
w,1723884197.670179,press,,
e,1723884197.8927798,press,,
space,1723884199.3858726,press,,
h,1723884200.487411,press,,
e,1723884200.629573,press,,
o,1723884201.524654,press,,
w,1723884201.688584,press,,
space,1723884201.9597032,press,,
a,1723884202.871288,press,,
g,1723884203.2435768,press,,
a,1723884203.5182598,press,,
i,1723884203.7256138,press,,
n,1723884203.969032,press,,
esc,1723884206.6781864,press,,
