key,time,event
h,1723884017.2048893,press
h,1723884017.3025641,release
e,1723884017.5033398,press
e,1723884017.6272457,release
l,1723884018.5129209,press
l,1723884018.5934048,release
l,1723884018.6617057,press
l,1723884018.7836833,release
space,1723884018.8987756,press
space,1723884018.9998288,release
j,1723884019.7123036,press
j,1723884019.7945843,release
u,1723884019.918455,press
u,1723884020.0005867,release
l,1723884020.138838,press
l,1723884020.2597299,release
i,1723884020.306235,press
i,1723884020.4494946,release
u,1723884020.61933,press
u,1723884020.836762,release
s,1723884020.8967218,press
s,1723884021.076011,release
space,1723884021.095981,press
space,1723884021.2055967,release
k,1723884022.010514,press
k,1723884022.097493,release
a,1723884022.2180483,press
a,1723884022.3255894,release
z,1723884022.4592254,press
i,1723884022.539363,press
z,1723884022.562503,release
i,1723884022.6657448,release
b,1723884022.8452349,press
b,1723884022.9114509,release
w,1723884023.046607,press
w,1723884023.1631815,release
e,1723884023.2596443,press
e,1723884023.3599916,release
space,1723884023.430809,press
space,1723884023.5401697,release
y,1723884024.4421153,press
y,1723884024.5575407,release
o,1723884024.6512828,press
o,1723884024.8036652,release
u,1723884024.8449442,press
u,1723884024.9893835,release
r,1723884025.0826397,press
r,1723884025.2234187,release
space,1723884025.2514498,press
space,1723884025.3543825,release
g,1723884025.7682147,press
g,1723884025.8695092,release
o,1723884025.956679,press
o,1723884026.051706,release
o,1723884026.1335223,press
o,1723884026.2489042,release
d,1723884026.3573384,press
d,1723884026.5210133,release
enter,1723884027.1248884,press
enter,1723884027.2702868,release
s,1723884028.682172,press
j,1723884028.732232,press
a,1723884028.8317297,press
k,1723884028.8907425,press
j,1723884028.895234,release
s,1723884028.9200556,release
a,1723884029.0206518,release
k,1723884029.0351481,release
d,1723884029.1049914,press
j,1723884029.1320012,press
d,1723884029.2913883,release
k,1723884029.4409196,press
k,1723884029.5270927,release
e,1723884029.8923812,press
e,1723884030.135832,press
e,1723884030.164726,release
u,1723884030.1998148,press
i,1723884030.3347785,press
u,1723884030.3720822,release
i,1723884030.4751804,release
e,1723884030.5280507,press
w,1723884030.6728413,press
e,1723884030.7158947,release
w,1723884030.833084,release
esc,1723884031.745582,press
