key,time,event
h,1723991461.3649216,press
h,1723991461.4930878,release
s,1723991461.5556757,press
a,1723991461.6188087,press
s,1723991461.809267,release
j,1723991461.8772457,press
a,1723991461.9348767,release
k,1723991462.0403411,press
j,1723991462.1291587,release
k,1723991462.2114425,release
d,1723991462.2509,press
j,1723991462.3241394,press
a,1723991462.4031975,press
s,1723991462.442946,press
d,1723991462.4765415,release
j,1723991462.535175,release
s,1723991462.565122,release
a,1723991462.5903637,release
Key.space,1723991462.8013434,press
Key.space,1723991462.9079232,release
d,1723991463.0270407,press
j,1723991463.0775695,press
s,1723991463.1677394,press
a,1723991463.1679509,press
d,1723991463.2134187,release
k,1723991463.228797,press
j,1723991463.258313,release
s,1723991463.332814,release
a,1723991463.3607192,release
d,1723991463.3813474,press
j,1723991463.4236336,press
k,1723991463.4328082,release
e,1723991463.66771,press
w,1723991463.6682622,press
i,1723991463.681133,press
d,1723991463.6943376,release
j,1723991463.7515976,release
e,1723991463.7714038,release
i,1723991463.7717226,release
j,1723991463.8094,press
w,1723991463.830315,release
s,1723991464.0265915,press
a,1723991464.0281134,press
k,1723991464.1147072,press
j,1723991464.116437,release
a,1723991464.2388191,release
s,1723991464.2617276,release
k,1723991464.3390796,release
Key.space,1723991464.5271466,press
Key.space,1723991464.6486518,release
d,1723991464.6887264,press
s,1723991464.804289,press
a,1723991464.8245,press
j,1723991464.832434,press
d,1723991464.876898,release
k,1723991464.8983116,press
a,1723991464.9941227,release
s,1723991465.0091693,release
d,1723991465.0160453,press
k,1723991465.1293967,release
w,1723991465.3365715,press
e,1723991465.3401434,press
d,1723991465.354143,release
i,1723991465.3547783,press
e,1723991465.402256,release
j,1723991465.462586,release
w,1723991465.4632041,release
i,1723991465.520422,release
d,1723991465.5287883,press
j,1723991465.6150997,press
s,1723991465.6933584,press
d,1723991465.703271,release
a,1723991465.732588,press
j,1723991465.8517442,release
a,1723991465.9037938,release
s,1723991465.945148,release
d,1723991465.9492888,press
d,1723991466.0779538,release
Key.space,1723991466.1313994,press
Key.space,1723991466.274321,release
d,1723991466.2874393,press
a,1723991466.4525461,press
j,1723991466.4628358,press
s,1723991466.4633665,press
d,1723991466.5012205,release
d,1723991466.6063333,press
a,1723991466.6211073,release
s,1723991466.6258247,release
w,1723991466.83144,press
d,1723991466.9128156,release
j,1723991466.9597087,release
i,1723991467.102575,press
w,1723991467.1046476,release
d,1723991467.1609309,press
o,1723991467.2335618,press
i,1723991467.282368,release
o,1723991467.3700106,release
a,1723991467.453509,press
s,1723991467.468151,press
d,1723991467.5094402,release
j,1723991467.5442708,press
j,1723991467.672337,release
a,1723991467.7203753,release
k,1723991467.7464178,press
d,1723991467.7803192,press
s,1723991467.8103902,release
j,1723991467.8174102,press
s,1723991467.9373853,press
a,1723991467.9689112,press
d,1723991467.9766836,release
j,1723991467.9816873,release
k,1723991467.9821029,release
a,1723991468.117188,release
s,1723991468.138865,release
Key.space,1723991468.1489513,press
Key.space,1723991468.296237,release
s,1723991468.311581,press
j,1723991468.4774032,press
d,1723991468.4876754,press
s,1723991468.5167012,release
k,1723991468.6311524,press
w,1723991468.7520401,press
k,1723991468.7824054,release
e,1723991468.8351297,press
d,1723991468.8544679,release
e,1723991468.9520464,release
d,1723991468.9881403,press
w,1723991469.011512,release
j,1723991469.0823777,release
s,1723991469.2862499,press
d,1723991469.3483791,release
i,1723991469.5038393,press
d,1723991469.5900986,press
s,1723991469.5921264,release
o,1723991469.62033,press
i,1723991469.7303338,release
w,1723991469.7653866,press
o,1723991469.8121505,release
d,1723991469.8849423,release
w,1723991469.9634106,release
Key.space,1723991470.3188605,press
Key.space,1723991470.4290216,release
d,1723991470.456861,press
s,1723991470.5434124,press
a,1723991470.5607257,press
