key,time,event
s,1723989235.3653474,press
s,1723989235.4943388,release
j,1723989235.6090274,press
s,1723989235.743482,press
s,1723989235.8617911,release
k,1723989235.8848615,press
a,1723989235.8997452,press
a,1723989236.0390198,release
d,1723989236.055684,press
k,1723989236.1260228,release
w,1723989236.4530513,press
e,1723989236.4612825,press
i,1723989236.461657,press
d,1723989236.480917,release
e,1723989236.5186868,release
Key.space,1723989236.5642574,press
w,1723989236.6140296,release
i,1723989236.6162457,release
j,1723989236.6239307,release
d,1723989236.7662663,press
Key.space,1723989236.7854633,release
d,1723989236.8162622,release
a,1723989236.8309479,press
s,1723989236.8609178,press
u,1723989236.9712093,press
d,1723989237.014195,press
i,1723989237.0287154,press
s,1723989237.063384,release
a,1723989237.0954564,release
i,1723989237.3582287,release
u,1723989237.4203038,release
w,1723989237.4221919,press
e,1723989237.4224002,press
d,1723989237.44152,release
e,1723989237.5078132,release
w,1723989237.5643075,release
i,1723989237.5660975,press
d,1723989237.5793405,press
Key.space,1723989237.6246865,press
i,1723989237.6914256,release
d,1723989237.746991,release
a,1723989237.7631254,press
s,1723989237.775524,press
Key.space,1723989237.7759235,release
d,1723989237.9171424,press
u,1723989237.931413,press
a,1723989237.9341676,release
s,1723989237.9624445,release
i,1723989238.0381155,press
u,1723989238.1252222,release
w,1723989238.1830616,press
e,1723989238.2690408,press
d,1723989238.2885668,release
u,1723989238.3119645,press
e,1723989238.3512712,release
i,1723989238.3626974,release
d,1723989238.427568,press
w,1723989238.4621298,release
a,1723989238.7647104,press
s,1723989238.7887576,press
d,1723989238.8048694,release
a,1723989238.9367504,release
d,1723989239.0083497,press
s,1723989239.0503306,release
Key.space,1723989239.100235,press
Key.space,1723989239.249099,release
d,1723989239.2494922,release
a,1723989239.2780707,press
u,1723989239.308101,release
s,1723989239.3719578,press
i,1723989239.4151444,press
d,1723989239.421134,press
s,1723989239.4446802,release
u,1723989239.4909823,press
d,1723989239.5770664,release
i,1723989239.5797627,release
s,1723989239.6289725,press
