key,time,event,hold_time,flight_time
s,1723989235.3653474,press,0.12899136543273926,
j,1723989235.6090274,press,-0.24914336204528809,0.24914336204528809
s,1723989235.743482,press,0.24116110801696777,0.023070573806762695
k,1723989235.8848617,press,0.4252328872680664,0.01666426658630371
a,1723989235.8997452,press,0.1609785556793213,0.3270282745361328
d,1723989236.055684,press,0.1545884609222412,0.3356342315673828
w,1723989236.453051,press,-0.28534936904907227,0.1423356533050537
e,1723989236.4612825,press,-0.7919282913208008,0.014685869216918945
i,1723989236.461657,press,-1.3665790557861328,0.044655561447143555
Key.space,1723989236.5642574,press,-0.41246986389160156,0.21245312690734863
d,1723989236.7662663,press,-1.0984234809875488,0.015032768249511719
a,1723989236.830948,press,-2.2811851501464844,0.028532981872558594
s,1723989236.8609178,press,-1.436225414276123,0.141218900680542
u,1723989236.9712093,press,-0.5111091136932373,0.15548944473266602
d,1723989237.014195,press,-1.4218699932098389,0.07567119598388672
i,1723989237.0287154,press,-1.5690319538116455,0.057839393615722656
w,1723989237.422192,press,-3.2944188117980957,0.3266277313232422
e,1723989237.4224002,press,-2.527432680130005,0.07159924507141113
i,1723989237.5660975,press,-2.798898935317993,0.10704350471496582
d,1723989237.5793405,press,-2.9402170181274414,0.11303305625915527
Key.space,1723989237.6246865,press,-2.070678472518921,0.046302080154418945
a,1723989237.7631254,press,-3.179880380630493,0.040463924407958984
s,1723989237.775524,press,-2.3907880783081055,0.055429935455322266
d,1723989237.9171424,press,-3.566131114959717,0.06178760528564453
u,1723989237.931413,press,-3.7707605361938477,0.033954620361328125
i,1723989238.0381155,press,-4.91156530380249,0.012040138244628906
w,1723989238.1830616,press,-4.094899415969849,0.049567461013793945
e,1723989238.2690408,press,-3.88864803314209,0.04402804374694824
u,1723989238.3119645,press,-4.444810390472412,0.031131267547607422
d,1723989238.427568,press,-5.172791481018066,0.013162612915039062
a,1723989238.7647104,press,-4.908991813659668,0.10669898986816406
s,1723989238.7887576,press,-4.778877019882202,0.04359793663024902
d,1723989239.0083497,press,-4.345733880996704,0.0003554821014404297
Key.space,1723989239.100235,press,-5.482777833938599,0.1980125904083252
a,1723989239.2780707,press,-5.785107135772705,0.12545990943908691
s,1723989239.3719578,press,-6.928125619888306,0.08823943138122559
i,1723989239.4151444,press,-5.137336730957031,0.04353213310241699
d,1723989239.421134,press,-6.132224798202515,0.09903335571289062
u,1723989239.4909823,press,-6.35888671875,0.1771223545074463
s,1723989239.6289723,press,-6.797256708145142,0.009529590606689453
d,1723989239.7252529,press,-7.008603811264038,0.02956533432006836
i,1723989239.796126,press,-7.3736412525177,0.05184459686279297
u,1723989239.811092,press,-7.484171390533447,0.0670318603515625
w,1723989240.0844426,press,-8.916985034942627,0.211622953414917
e,1723989240.084818,press,-8.059100151062012,0.3403162956237793
d,1723989240.2516775,press,-8.306204557418823,0.1172635555267334
u,1723989240.290738,press,-8.537816286087036,0.2135467529296875
a,1723989240.39407,press,-8.730318546295166,0.12886309623718262
s,1723989240.405904,press,-8.752341985702515,0.00021409988403320312
i,1723989240.5557177,press,-9.536490678787231,0.015272855758666992
d,1723989240.5758164,press,-10.084428071975708,0.0004818439483642578
Key.space,1723989240.6741111,press,-8.471102237701416,0.12531518936157227
u,1723989240.938863,press,-9.729154586791992,0.1436929702758789
e,1723989240.9634972,press,-10.467267036437988,0.0935964584350586
d,1723989241.1084776,press,-11.028685331344604,0.11033368110656738
i,1723989241.138443,press,-10.277181625366211,0.013345479965209961
a,1723989241.2118113,press,-10.895781755447388,0.08080863952636719
u,1723989241.389528,press,-10.69643759727478,0.1805419921875
d,1723989241.3899088,press,-3.322929620742798,0.0019376277923583984
Key.space,1723989241.56434,press,-11.095970392227173,0.19106459617614746
a,1723989241.6573489,press,-11.311131000518799,0.27089667320251465
