key,type,time
s,keydown,6527
h,keydown,6555
a,keydown,6623
h,keyup,6669
j,keydown,6743
s,keyup,6757
j,keyup,6918
a,keyup,6948
w,keydown,7104
u,keydown,7125
w,keyup,7239
i,keydown,7280
u,keyup,7326
i,keyup,7425
e,keydown,7439
u,keydown,7510
u,keyup,7654
e,keyup,7655
 ,keydown,7892
 ,keyup,7986
u,keydown,8113
i,keydown,8184
s,keydown,8235
u,keyup,8266
d,keydown,8342
i,keyup,8362
s,keyup,8394
u,keydown,8451
i,keydown,8567
u,keyup,8676
w,keydown,8676
d,keyup,8693
i,keyup,8752
u,keydown,8862
w,keyup,8909
i,keydown,8959
u,keyup,9018
i,keyup,9061
 ,keydown,9286
 ,keyup,9385
d,keydown,9577
s,keydown,9682
d,keyup,9763
a,keydown,9764
u,keydown,9766
i,keydown,9845
u,keyup,9900
s,keyup,9946
a,keyup,9953
d,keydown,9961
i,keyup,9988
u,keydown,10166
i,keydown,10265
e,keydown,10266
w,keydown,10267
d,keyup,10285
u,keyup,10298
e,keyup,10360
i,keyup,10399
w,keyup,10472
d,keydown,10566
a,keydown,10681
s,keydown,10695
d,keyup,10696
a,keyup,10866
o,keydown,10946
s,keyup,10951
o,keyup,11097
 ,keydown,11392
 ,keyup,11496
a,keydown,11589
s,keydown,11610
u,keydown,11705
i,keydown,11800
d,keydown,11814
a,keyup,11862
s,keyup,11895
u,keyup,11913
i,keyup,11935
u,keydown,11943
w,keydown,12164
e,keydown,12167
i,keydown,12168
d,keyup,12184
u,keyup,12258
e,keyup,12278
i,keyup,12285
u,keydown,12367
w,keyup,12368
d,keydown,12459
u,keyup,12556
a,keydown,12583
d,keyup,12603
s,keydown,12611
a,keyup,12779
d,keydown,12845
s,keyup,12879
e,keydown,13038
d,keyup,13066
w,keydown,13119
y,keydown,13189
e,keyup,13211
w,keyup,13280
y,keyup,13332
u,keydown,13333
u,keyup,13395
 ,keydown,13615
 ,keyup,13722
s,keydown,13977
a,keydown,13980
a,keyup,14196
d,keydown,14339
s,keyup,14394
j,keydown,14432
d,keyup,14528
s,keydown,14557
k,keydown,14572
a,keydown,14633
j,keyup,14634
k,keyup,14663
a,keyup,14768
k,keydown,14782
d,keydown,14822
s,keyup,14842
k,keyup,14927
w,keydown,15076
e,keydown,15131
d,keyup,15146
e,keyup,15244
i,keydown,15257
w,keyup,15330
i,keyup,15389
 ,keydown,15825
s,keydown,15846
 ,keyup,15936
a,keydown,16007
u,keydown,16131
i,keydown,16167
a,keyup,16270
u,keyup,16271
d,keydown,16299
i,keyup,16326
s,keyup,16333
u,keydown,16424
w,keydown,16545
i,keydown,16580
d,keyup,16581
u,keyup,16732
i,keyup,16751
w,keyup,16773
u,keydown,16802
d,keydown,16829
s,keydown,16989
d,keyup,17023
a,keydown,17033
u,keyup,17052
i,keydown,17112
a,keyup,17195
d,keydown,17242
i,keyup,17263
s,keyup,17277
d,keyup,17391
e,keydown,17488
w,keydown,17501
e,keyup,17676
w,keyup,17718
u,keydown,17742
u,keyup,17961
s,keydown,18179
a,keydown,18288
s,keyup,18406
a,keyup,18450
